,state_abbr,year,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
0,AL,2017,4875120,25469,419,4233,18816,143774,31270,99707,12797
1,AL,2018,4887681,25567,383,4047,19105,138702,29101,96328,13273
2,AL,2019,4903185,25046,358,3941,18679,131133,26079,92477,12577
3,AK,2017,739786,6338,62,952,4250,26203,4167,17782,4254
4,AK,2018,735139,6555,47,896,4400,24345,3985,16364,3996
5,AK,2019,731545,6343,69,826,4360,21294,3563,15114,2617
6,AZ,2017,7048876,35647,422,7440,24163,204999,37722,148251,19026
7,AZ,2018,7158024,34053,383,6509,23556,192730,31787,141789,19154
8,AZ,2019,7278717,33141,365,6410,22704,177638,28699,130788,18151
9,AR,2017,3002997,16996,249,1998,12609,94419,22369,64795,7255
10,AR,2018,3009733,16904,222,1593,12748,89177,19520,62350,7307
11,AR,2019,3017804,17643,242,1557,13513,86250,18095,60735,7420
12,CA,2017,39399349,178597,1830,56625,105418,987063,176679,642019,168365
13,CA,2018,39461588,176604,1739,54328,105031,941644,164645,621779,155220
14,CA,2019,39512223,174331,1690,52301,105541,921114,152555,626802,141757
15,CO,2017,5615902,20901,222,3868,12790,152032,22618,107470,21944
16,CO,2018,5691287,22851,215,3781,14527,154292,21757,110518,22017
17,CO,2019,5758736,21938,218,3663,14185,149189,20064,107012,22113
18,CT,2017,3573880,8190,105,2813,4422,63646,8906,47418,7322
19,CT,2018,3571520,7485,86,2205,4321,59356,7983,44181,7192
20,CT,2019,3565287,6546,104,1929,3742,50862,6441,38457,5964
21,DE,2017,957078,4377,51,1082,2893,23430,3960,18108,1362
22,DE,2018,965479,4079,46,861,2838,22405,3154,17780,1471
23,DE,2019,973764,4115,48,790,2967,21931,2968,17359,1604
24,DC,2019,705749,7403,166,2713,4179,30821,1843,26645,2333
25,DC,2017,695691,6976,116,2625,3791,29736,1809,25340,2587
26,DC,2018,701547,6995,160,2415,3970,30726,1788,26345,2593
27,FL,2018,21244317,81980,1107,16884,55551,486017,71933,372919,41165
28,FL,2019,21477737,81270,1122,16217,55475,460846,63396,358402,39048
29,FL,2017,20976812,85606,1057,18597,58016,527125,88835,395375,42915
30,GA,2017,10413055,37118,681,9844,23947,297651,55363,216252,26036
31,GA,2018,10511131,35619,647,8499,23675,277803,46816,205631,25356
32,GA,2019,10617423,36170,654,7961,24633,252249,39506,188967,23776
33,HI,2017,1424203,3577,39,1077,1894,40392,5549,29574,5269
34,HI,2018,1420593,3622,40,951,1922,41027,5709,29600,5718
35,HI,2019,1415872,4042,48,1131,2098,40228,5340,29634,5254
36,IA,2017,3143637,9038,98,1269,6366,65652,14711,45441,5500
37,IA,2018,3148618,8303,70,989,6118,57024,12433,39498,5093
38,IA,2019,3155070,8410,60,863,6323,54699,11710,37847,5142
39,ID,2017,1718904,4111,42,222,3092,28557,5837,20570,2150
40,ID,2018,1750536,4196,34,195,3040,25822,4990,18876,1956
41,ID,2019,1787065,4000,35,155,3001,21793,3927,16295,1571
42,IL,2017,12786196,55777,983,17731,31639,255108,43355,190860,20893
43,IL,2018,12723071,52343,902,14251,31084,246679,39317,187517,19845
44,IL,2019,12671821,51561,832,12464,32187,233984,34433,180776,18775
45,IN,2017,6660082,26307,413,7035,16247,158932,29799,114395,14738
46,IN,2018,6695497,25009,418,5737,16368,146948,25894,105861,15193
47,IN,2019,6732219,24966,377,5331,16783,132694,21795,97176,13723
48,KS,2017,2910689,11654,134,1633,8383,79387,13102,58891,7394
49,KS,2018,2911359,12861,122,1420,9655,77449,12792,56726,7931
50,KS,2019,2913314,11968,105,1293,9154,67428,9984,50165,7279
51,KY,2017,4453874,10292,265,2967,5243,95899,20535,65006,10358
52,KY,2018,4461153,9719,250,2469,5125,89235,17462,61313,10460
53,KY,2019,4467673,9701,221,2161,5747,84769,15443,59130,10196
54,LA,2017,4670818,25986,576,5385,18175,157272,34135,112042,11095
55,LA,2018,4659690,25314,533,4600,18076,152996,31291,110066,11639
56,LA,2019,4648794,25537,544,4025,18695,146993,26918,109359,10716
57,MA,2017,6863246,24318,172,4874,17073,97977,16916,73573,7488
58,MA,2018,6882635,23424,138,4084,16737,87658,14095,66968,6595
59,MA,2019,6892503,22578,152,3613,16609,81317,12341,62844,6132
60,MD,2017,6024891,30321,558,11189,16862,134705,23526,97657,13522
61,MD,2018,6035802,28330,491,9716,16132,122945,18910,91887,12148
62,MD,2019,6045680,27456,542,9203,15798,117901,16862,89780,11259
63,ME,2017,1335063,1610,23,249,868,20142,3337,16012,793
64,ME,2018,1339057,1500,23,228,802,18201,2712,14712,777
65,ME,2019,1344212,1548,20,188,824,16743,2350,13667,726
66,MI,2017,9976447,44883,569,6508,30696,179839,35833,124410,19596
67,MI,2018,9984072,45176,555,5638,31082,166186,31834,116876,17476
68,MI,2019,9986857,43686,556,5350,30545,158296,28572,111980,17744
69,MN,2017,5568155,13345,114,3627,7199,122430,18828,93602,10000
70,MN,2018,5606249,12403,107,2946,6875,112186,16206,85849,10131
71,MN,2019,5639632,13332,117,3149,7618,117236,15927,90092,11217
72,MO,2017,6108612,32450,599,6362,22752,173380,30086,123356,19938
73,MO,2018,6121623,30696,599,5206,21956,162698,27345,115506,19847
74,MO,2019,6137428,30380,568,4959,21936,161946,26414,114460,21072
75,MS,2017,2989663,7661,190,2492,4321,82764,22449,55968,4347
76,MS,2018,2981020,7929,214,1700,5419,71701,20355,46201,5145
77,MS,2019,2976149,8272,332,1700,5493,70707,18660,46300,5747
78,MT,2017,1053090,3937,41,234,3023,27294,3623,21073,2598
79,MT,2018,1060665,4040,37,270,3164,26787,3329,20641,2817
80,MT,2019,1068778,4328,27,205,3472,23440,2887,18176,2377
81,NC,2017,10270800,38043,622,9884,25593,265483,65247,184119,16117
82,NC,2018,10381615,36980,574,7573,26200,243323,57450,169376,16497
83,NC,2019,10488084,38995,632,7599,27517,247236,54447,174728,18061
84,ND,2017,755176,2133,10,183,1534,16653,2947,11944,1762
85,ND,2018,758080,2154,18,158,1569,15621,2742,11088,1791
86,ND,2019,762062,2169,24,179,1529,15066,2608,10666,1792
87,NE,2017,1917575,5979,42,1020,3726,43856,6513,32064,5279
88,NE,2018,1925614,5583,44,736,3513,40193,5308,29987,4898
89,NE,2019,1934408,5821,45,792,3731,39449,4745,29719,4985
90,NH,2017,1349767,2642,13,441,1569,18550,2554,15087,909
91,NH,2018,1353465,2404,21,342,1463,17201,1908,14396,897
92,NH,2019,1359711,2074,33,313,1138,16442,1717,13832,893
93,NJ,2017,8888543,20604,324,7895,10880,140086,23891,104025,12170
94,NJ,2018,8886025,18536,285,6364,10463,125155,19232,94886,11037
95,NJ,2019,8882190,18375,262,5730,10852,118637,16399,91902,10336
96,NM,2017,2093395,16300,144,3732,11180,81865,17872,52284,11709
97,NM,2018,2092741,17637,153,2646,13536,70722,16102,44592,10028
98,NM,2019,2096829,17450,181,2341,13640,65269,14610,41702,8957
99,NV,2017,2972405,16663,266,4841,9660,78320,20049,45459,12812
100,NV,2018,3027341,16715,202,3862,10322,73998,17741,44341,11916
101,NV,2019,3080156,15210,143,3286,9620,71525,15510,44755,11260
102,NY,2017,19590719,70746,550,20122,43777,293390,34928,245093,13369
103,NY,2018,19530351,68512,562,18191,43182,281543,31158,237243,13142
104,NY,2019,19453561,69764,558,18068,44555,267155,27600,226851,12704
105,OH,2017,11664129,34621,741,11224,16823,280557,57521,202320,20716
106,OH,2018,11676341,34426,596,9608,18370,257848,49456,188433,19959
107,OH,2019,11689100,34269,538,8846,19154,240291,43894,177725,18672
108,OK,2017,3932640,17989,243,3007,12519,113611,28749,72546,12316
109,OK,2018,3940235,18701,215,2805,13250,114395,27178,73799,13418
110,OK,2019,3956971,17086,266,2369,12183,112587,26577,72632,13378
111,OR,2017,4146592,11629,105,2474,7058,122524,17415,88091,17018
112,OR,2018,4181886,12146,86,2515,7431,122401,16515,89191,16695
113,OR,2019,4217737,11995,116,2276,7825,115170,14724,85261,15185
114,PA,2017,12790447,40030,742,11777,23295,210316,31925,165434,12957
115,PA,2018,12800922,39099,784,9854,23971,190633,27054,150441,13138
116,PA,2019,12801989,39228,669,9743,24465,179665,23354,143921,12390
117,RI,2017,1056486,2474,21,474,1525,18585,3219,13882,1484
118,RI,2018,1058287,2326,16,453,1363,17625,2817,13270,1538
119,RI,2019,1059361,2342,25,418,1408,16259,2321,12580,1358
120,SC,2017,5021219,25412,380,3884,18572,160368,31165,114931,14272
121,SC,2018,5084156,25463,411,3592,18810,156330,29957,111427,14946
122,SC,2019,5148714,26323,464,3294,20105,151389,27461,108953,14975
123,SD,2017,873286,3753,27,264,2887,16588,2835,12285,1468
124,SD,2018,878698,3483,12,222,2632,15191,2502,11237,1452
125,SD,2019,884659,3530,17,195,2676,15667,2646,11265,1756
126,TN,2017,6708794,43940,538,7867,32507,198028,38819,140636,18573
127,TN,2018,6771631,42687,508,7222,31946,192897,33538,138710,20649
128,TN,2019,6829174,40647,498,6150,31186,181153,29869,132104,19180
129,TX,2017,28322717,123984,1405,32120,75923,723143,133458,521767,67918
130,TX,2018,28628666,118197,1327,28339,73433,681143,117897,493238,70008
131,TX,2019,28995881,121474,1409,28988,76253,693204,113902,501813,77489
132,UT,2017,3103118,7515,74,1498,4185,86201,11780,64955,9466
133,UT,2018,3153550,7551,63,1237,4397,76294,10079,58406,7809
134,UT,2019,3205958,7553,72,1125,4534,69546,8871,53937,6738
135,VA,2017,8465207,17811,470,4331,9984,152515,18524,123812,10179
136,VA,2018,8501286,17357,417,3610,10258,142931,15659,116496,10776
137,VA,2019,8535519,17753,426,3524,10987,140213,13900,116044,10269
138,VT,2017,624525,1082,17,100,711,9339,1945,7169,225
139,VT,2018,624358,1155,11,73,745,8211,1496,6451,264
140,VT,2019,623989,1262,11,71,902,8888,1275,7315,298
141,WA,2017,7425432,22483,226,5386,13571,235206,43687,162154,29365
142,WA,2018,7523869,23719,236,5557,14316,223256,40434,154941,27881
143,WA,2019,7614893,22377,198,5147,13700,204224,34540,145282,24402
144,WI,2017,5792051,18638,192,4370,11899,104908,17570,77868,9470
145,WI,2018,5807406,17365,175,3493,11364,91238,14180,68380,8678
146,WI,2019,5822434,17070,175,2991,11643,85672,12667,65620,7385
147,WV,2017,1817048,6564,98,673,5000,32560,7557,21917,3086
148,WV,2018,1804291,5411,76,333,4286,27888,5916,19783,2189
149,WV,2019,1792147,5674,78,378,4464,28376,5891,20066,2419
150,WY,2017,578934,1358,14,98,993,10528,1556,8211,761
151,WY,2018,577601,1235,14,75,885,10308,1551,7974,783
152,WY,2019,578759,1258,13,67,854,9093,1396,6984,713
