year,state,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,total_crimes,crime_rate,,,,
2019,AL,4903185,25046,358,2068,3941,18679,131133,26079,92477,12577,312358,6.370512228,,,,
2019,AK,731545,6343,69,1088,826,4360,21294,3563,15114,2617,55274,7.555789459,,,,
2019,AZ,7278717,33141,365,3662,6410,22704,177638,28699,130788,18151,421558,5.791652567,,,,
2019,AR,3017804,17643,242,2331,1557,13513,86250,18095,60735,7420,207786,6.885337815,,,,
2019,CA,39512223,174331,1690,14799,52301,105541,921114,152555,626802,141757,2190890,5.54484115,,,,
2019,CO,5758736,21938,218,3872,3663,14185,149189,20064,107012,22113,342254,5.943213928,,,,
2019,CT,3565287,6546,104,771,1929,3742,50862,6441,38457,5964,114816,3.220385904,,,,
2019,DE,973764,4115,48,310,790,2967,21931,2968,17359,1604,52092,5.349550815,,,,
2019,DC,705749,7403,166,345,2713,4179,30821,1843,26645,2333,76448,10.83217971,,,,
2019,FL,21477737,81270,1122,8456,16217,55475,460846,63396,358402,39048,1084232,5.048166853,,,,
2019,GA,10617423,36170,654,2922,7961,24633,252249,39506,188967,23776,576838,5.432937917,,,,
2019,HI,1415872,4042,48,765,1131,2098,40228,5340,29634,5254,88540,6.253390137,,,,
2019,IA,3155070,8410,60,1164,863,6323,54699,11710,37847,5142,126218,4.000481764,,,,
2019,ID,1787065,4000,35,809,155,3001,21793,3927,16295,1571,51586,2.886632551,,,,
2019,IL,12671821,51561,832,6078,12464,32187,233984,34433,180776,18775,571090,4.506771363,,,,
2019,IN,6732219,24966,377,2475,5331,16783,132694,21795,97176,13723,315320,4.683745434,,,,
2019,KS,2913314,11968,105,1416,1293,9154,67428,9984,50165,7279,158792,5.450562487,,,,
2019,KY,4467673,9701,221,1572,2161,5747,84769,15443,59130,10196,188940,4.229047202,,,,
2019,LA,4648794,25537,544,2273,4025,18695,146993,26918,109359,10716,345060,7.422570241,,,,
2019,MA,6892503,22578,152,2204,3613,16609,81317,12341,62844,6132,207790,3.014724839,,,,
2019,MD,6045680,27456,542,1913,9203,15798,117901,16862,89780,11259,290714,4.808623678,,,,
2019,ME,1344212,1548,20,516,188,824,16743,2350,13667,726,36582,2.721445724,,,,
2019,MI,9986857,43686,556,7235,5350,30545,158296,28572,111980,17744,403964,4.044956286,,,,
2019,MN,5639632,13332,117,2448,3149,7618,117236,15927,90092,11217,261136,4.630373046,,,,
2019,MO,6137428,30380,568,2917,4959,21936,161946,26414,114460,21072,384652,6.267315885,,,,
2019,MS,2976149,8272,332,747,1700,5493,70707,18660,46300,5747,157958,5.307462765,,,,
2019,MT,1068778,4328,27,624,205,3472,23440,2887,18176,2377,55536,5.196214742,,,,
2019,NC,10488084,38995,632,3247,7599,27517,247236,54447,174728,18061,572462,5.45821334,,,,
2019,ND,762062,2169,24,437,179,1529,15066,2608,10666,1792,34470,4.523254013,,,,
2019,NE,1934408,5821,45,1253,792,3731,39449,4745,29719,4985,90540,4.680501735,,,,
2019,NH,1359711,2074,33,590,313,1138,16442,1717,13832,893,37032,2.723519924,,,,
