,state_abbr,latitude,longitude,avg_crimerate
2,AK,63.588753,-154.493062,7.62
1,AL,32.318231,-86.902298,7.41
4,AR,35.20105,-91.831833,8.21
3,AZ,34.048928,-111.093731,7.39
5,CA,36.778261,-119.417932,6.48
6,CO,39.550051,-105.782067,6.28
7,CT,41.603221,-73.087749,4.27
9,DC,38.905985,-77.033418,13.47
8,DE,38.910832,-75.52767,6.85
10,FL,27.664827,-81.515754,7
11,GA,32.157435,-82.907123,7.46
12,HI,19.898682,-155.665857,8.86
16,IA,41.878003,-93.097702,4.92
13,ID,44.068202,-114.742041,4.09
14,IL,40.633125,-89.398528,5.01
15,IN,40.551217,-85.602364,6.33
17,KS,39.011902,-98.484246,6.7
18,KY,37.839333,-84.270018,5.09
19,LA,31.244823,-92.145024,8.48
22,MA,42.407211,-71.382437,4.33
21,MD,39.045755,-76.641271,6.03
20,ME,45.253783,-69.445469,4.08
23,MI,44.314844,-85.602364,4.92
24,MN,46.729553,-94.6859,5.18
26,MO,37.964253,-91.831833,7.18
25,MS,32.354668,-89.398528,6.7
27,MT,46.879682,-110.362566,6.36
34,NC,35.759573,-79.0193,6.59
35,ND,47.551493,-101.002012,5.47
28,NE,41.492537,-99.901813,5.3
30,NH,43.193852,-71.572395,4.09
31,NJ,40.058324,-74.405661,3.92
32,NM,34.97273,-105.032363,9.53
29,NV,38.80261,-116.419389,7.2
33,NY,43.299428,-74.217933,4.13
36,OH,40.417287,-82.907123,6.18
37,OK,35.007752,-97.092877,7.15
38,OR,43.804133,-120.554201,6.91
39,PA,41.203322,-77.194525,4.44
40,RI,41.580095,-71.477429,4.47
41,SC,33.836081,-81.163725,8.26
42,SD,43.969515,-99.901813,4.89
43,TN,35.517491,-86.580447,7.72
44,TX,31.968599,-99.901813,6.94
45,UT,39.32098,-111.093731,6.91
47,VA,37.431573,-78.656894,4.35
46,VT,44.558803,-72.577841,3.23
48,WA,47.751074,-120.740139,8.12
50,WI,43.78444,-88.787868,4.78
49,WV,38.597626,-80.454903,5.14
51,WY,43.075968,-107.290284,4.43
